	slope	pval	qval
CICP27	0.3929122934862266	0.0014632079779734	0.03697230629374762
NOC2L	-0.1498417329911651	0.0005408106038234	0.020249610757151613
PLEKHN1	-0.2181435494208308	0.0006455984463196	0.022334924196121424
HES4	-0.445706465158733	0.0064126693520047	0.08752011131616014
C1orf159	-0.2094055797438449	0.0005673604344645	0.02074570719242196
SDF4	-0.0803673904024252	0.0009910066946444	0.028838506116219128
ACAP3	-0.1613385603098612	0.0001897453537479	0.011055046266601237
INTS11	-0.1354405454789257	5.2630514090353006e-05	0.005454992102088241
RP5-890O3.9	-0.1694918066140246	0.0028953876735207	0.0548352841941991
DVL1	-0.1452085730874278	0.0002581788550198	0.013309254063494733
ATAD3B	-0.2121425172295837	0.0017130518499403	0.040344662032761366
RP11-345P4.9	-0.1303374115021949	0.0009889332577378	0.02881795221658532
MIB2	-0.1814400671893423	0.0011580803468404	0.03184983490917437
MMP23B	-0.5448734500694896	0.0001832835475666	0.010822909950717214
SLC35E2B	0.1384706961713584	0.0008411864607647	0.02614336462246238
PEX10	-0.1406440398974734	0.000268556457786	0.013549939134430049
PLCH2	-0.3862207638728652	0.0023336488713802	0.048074927994863355
RP3-395M20.2	-0.356639763029835	6.957044439554678e-05	0.006393246292808601
PANK4	-0.1290020910272085	0.0002193109305891	0.012120475454817566
RP3-395M20.12	-0.2431265751804898	2.0562361852993977e-05	0.003075453310352458
TNFRSF14	-0.1564361382075742	1.4880832813268683e-05	0.002515091098891529
RP3-395M20.9	-0.2107972543188506	0.0063380209849453	0.08702632009907779
FAM213B	-0.3099719437126257	1.9735778596057974e-11	1.657562500178457e-08
MMEL1	-0.691634486582217	8.411820495468595e-15	8.349420081611302e-12
RP11-46F15.2	0.2832897918825723	0.0028335564880877	0.054068338272521395
RP5-1092A11.2	0.0598824386829282	0.0059587501746668	0.08388346816281846
CEP104	-0.1412687517336317	1.0535068394415594e-06	0.0003528407691950528
C1orf174	-0.1481511117007697	9.34604527724369e-06	0.0018353212366017538
AJAP1	-0.5170266908812958	6.361341035732128e-06	0.00139859701365551
RNF207	-0.3691916929692963	0.0026926889410135	0.05209153293228847
ACOT7	-0.2384489172255059	0.0045515328474854	0.07119692871344498
ESPN	-0.6887259649512832	6.616667540361383e-07	0.00025084521830792266
CAMTA1	-0.1628566835344962	8.685514962656702e-07	0.00030394848259061196
PER3	-0.3725028508783696	4.466696893048819e-06	0.0010719772202624242
RP3-467L1.4	-0.2466894196451194	0.0007507884484344	0.024460034087459455
PARK7	-0.0921393078163358	0.0074389554086281	0.09562219299925247
RP3-477M7.6	0.0873281788314021	0.0024735161245453	0.04979673469289905
GPR157	0.1621660793155664	0.0056500180708063	0.08099941872937436
H6PD	0.1921773250886295	0.0014264368051613	0.03638952725209582
KIF1B	0.2715904756457813	6.110001417599718e-05	0.005979412776597793
PEX14	-0.173846280419202	0.000283363685188	0.013912003889134321
CASZ1	-0.188014480814645	0.0009577820150531	0.028293958747715817
RP4-734G22.3	-0.3475819183384939	6.782952962779795e-05	0.006279846425706891
EXOSC10	-0.1206869991217045	0.0063112104750592	0.08680774506432018
TNFRSF1B	-0.172531058661761	0.001091924641505	0.030707062543671296
RP3-467K16.4	0.2877265941441584	0.0035609787768164	0.06185320829845218
CTRC	0.2055676458784439	0.0046490289123604	0.07204081362009054
PLEKHM2	-0.1145025862547676	0.0001119310170577	0.008125715536188774
ZBTB17	-0.1427878489665777	5.007001233177279e-06	0.0011552154390869953
ANO7L1	-0.3513437872926913	0.0001650480356871	0.010155498156322775
FBXO42	-0.079382124216627	0.0019479481511549	0.0434050552929993
SZRD1	-0.0819795895525235	0.0036862347995428	0.06316350601903345
RP11-430L17.1	-0.1932216915738874	0.0049958043323103	0.07513746193988496
EIF1AXP1	0.376264638483014	8.368208858274848e-07	0.0003000057692927999
ATP13A2	-0.1054557541198946	0.0059764742917166	0.0839755069942702
NBL1	-0.2683841809857227	0.0007356498405674	0.024091539349883322
DDOST	-0.1348740807976631	4.428629997414995e-06	0.0010697688885791124
ALPL	0.4776553136462443	0.0017460775852066	0.04073010936425121
LDLRAD2	-0.3430356074063369	0.0001781468414	0.010605662339922356
LUZP1	-0.1737610280769661	0.0020737445092833	0.04499999550576312
LINC01355	0.2448103653319718	0.0040642981106661	0.06672006190170168
ELOA	-0.0875683627431398	0.0003613497276429	0.0158830952749446
NIPAL3	-0.1416517390026505	0.0051775527851307	0.07682874738946865
RUNX3	-0.3674095529328816	0.0050182596336814	0.07538712986294303
TMEM50A	0.1430650984685955	0.0036074055613892	0.06228193687772271
